""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	3	2018	3	6.303125	1.07794823664583	2018-01-03	"GOR1"	0.631662218674378	0.0299842360290812
"2"	13	2018	0.2	6.60141666666667	1.31612259650743	2018-01-13	"GOR1"	0.513218955679522	0.0891752596838211
"3"	18	2018	0	4.88345833333333	1.88973168287562	2018-01-18	"GOR1"	0.607283463589957	-0.0253886181858842
"4"	28	2018	0	8.17929166666667	1.32025782984257	2018-01-28	"GOR1"	0.536089341485945	0.09408250396307
"5"	48	2018	0	5.96583333333333	1.39816991430454	2018-02-17	"GOR1"	0.521779357977004	-0.0306487574960272
"6"	93	2018	0	11.399625	2.63617070372962	2018-04-03	"GOR1"	0.546567233620395	-0.0197880730540449
"7"	98	2018	0	15.5575	1.98369046429545	2018-04-08	"GOR1"	0.540658049829624	-0.0152071343958989
"8"	103	2018	0	13.8508333333333	1.95919419710971	2018-04-13	"GOR1"	0.594733263883597	0.0378025064793295
"9"	118	2018	0	19.8595833333333	1.59850542004715	2018-04-28	"GOR1"	0.786667690701146	0.267574888128676
"10"	153	2018	0	19.8970833333333	2.00961691235493	2018-06-02	"GOR1"	0.866597237945813	0.394555767984485
"11"	163	2018	0.2	20.8408333333333	1.7992546688591	2018-06-12	"GOR1"	0.846123100137305	0.396965621971213
"12"	178	2018	0.2	16.593	1.93232079523223	2018-06-27	"GOR1"	0.879301942433446	0.416211814203136
"13"	183	2018	0	23.1791666666667	2.86083212466362	2018-07-02	"GOR1"	0.842695596274336	0.390458071350655
"14"	218	2018	0.6	22.9695833333333	1.83075060270617	2018-08-06	"GOR1"	0.853725064896069	0.368628424920909
"15"	233	2018	22.8	20.9070833333333	1.79932323213367	2018-08-21	"GOR1"	0.833075810691157	0.368980585122821
"16"	248	2018	0	19.1233333333333	2.03565719054873	2018-09-05	"GOR1"	0.856207269656631	0.356300730082482
"18"	293	2018	0	17.3266666666667	2.19308547540542	2018-10-20	"GOR1"	0.656360190831518	0.253206819998862
"19"	298	2018	0	14.3704166666667	2.02916820053527	2018-10-25	"GOR1"	0.810439682454896	0.239041703136675
"20"	303	2018	0.4	11.4183333333333	0.988270167663582	2018-10-30	"GOR1"	0.780562948187843	0.281444325983722
"21"	333	2018	0	5.90858333333333	1.54606096108907	2018-11-29	"GOR1"	0.710747473774056	0.167582391897674
"22"	353	2018	0	4.815875	1.47436494407325	2018-12-19	"GOR1"	0.52227056654621	0.080911901011093
"23"	363	2018	0	6.9735	1.22662462681891	2018-12-29	"GOR1"	0.630889368148034	0.02724438412494
