""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	3	2020	0	7.00633333333333	1.90486729359623	2020-01-03	"GOR1"	0.59302842895242	0.0153262202731996
"2"	8	2020	0	5.63	1.65469003884691	2020-01-08	"GOR1"	0.608161912476318	-0.000416966179305335
"3"	13	2020	0	7.15416666666667	1.58410388333494	2020-01-13	"GOR1"	0.562566453297529	0.0249493404066088
"4"	23	2020	0	7.45258333333333	0.944328134197739	2020-01-23	"GOR1"	0.58091043064214	0.0299839217179227
"5"	38	2020	0	4.4335	1.76998361406849	2020-02-07	"GOR1"	0.56685861512223	-0.0223564710108365
"6"	48	2020	0	8.15579166666667	1.37104563541368	2020-02-17	"GOR1"	0.570402630037103	-0.025975797773417
"7"	53	2020	0	6.87245833333333	2.4263273429863	2020-02-22	"GOR1"	0.552759330774619	-0.0178746067546385
"8"	58	2020	3.2	5.12	1.55705547681731	2020-02-27	"GOR1"	0.567408370749114	0.0214442675652163
"9"	73	2020	0	11.20125	1.945876569535	2020-03-13	"GOR1"	0.500798256647438	-0.00428241822565751
"10"	83	2020	0	4.29058333333333	1.3140495512847	2020-03-23	"GOR1"	0.488969778840342	0.0324842049124143
"11"	93	2020	0	4.79645833333333	1.95627672953211	2020-04-02	"GOR1"	0.557608748225161	0.000923673015239067
"12"	98	2020	0	12.0870833333333	2.88451254116801	2020-04-07	"GOR1"	0.543908706030668	-0.016917234927743
"13"	103	2020	0	13.30375	2.34451329742025	2020-04-12	"GOR1"	0.583593958724611	0.0322753951448539
"14"	108	2020	0	12.0766666666667	2.23632186549075	2020-04-17	"GOR1"	0.600167300882806	0.0602234161315421
"15"	118	2020	0	12.7308333333333	1.75515367237592	2020-04-27	"GOR1"	0.724122237903424	0.187970717036551
"16"	128	2020	0	13.5729166666667	2.55416777675478	2020-05-07	"GOR1"	0.822311342616687	0.305757359443758
"17"	143	2020	0	15.80625	2.91133595311764	2020-05-22	"GOR1"	0.900367050640629	0.406070004606564
"18"	148	2020	0	13.4383333333333	2.60636585916919	2020-05-27	"GOR1"	0.88989086370565	0.424816595339696
"19"	163	2020	4	13.54875	0.86350152971112	2020-06-11	"GOR1"	0.866532964605681	0.448477593965309
"20"	173	2020	0	17.8291666666667	2.27196205777828	2020-06-21	"GOR1"	0.891596987814229	0.423578129456289
"21"	183	2020	0	23.2333333333333	2.55799091015682	2020-07-01	"GOR1"	0.884479409997049	0.415404648440225
"22"	193	2020	0	21.9354166666667	2.03811914814097	2020-07-11	"GOR1"	0.857958158625176	0.417139649074339
"23"	198	2020	0	20.0079166666667	2.24795039696351	2020-07-16	"GOR1"	0.885553531038773	0.429681595635176
"24"	203	2020	0	22.5575	3.26100832126114	2020-07-21	"GOR1"	0.900959465383039	0.417951986916437
"25"	213	2020	0	25.975	2.21549455951704	2020-07-31	"GOR1"	0.871063222011074	0.401970241057912
"26"	223	2020	0	24.44375	3.04747167237926	2020-08-10	"GOR1"	0.871760017503647	0.396188120865743
"27"	243	2020	0	26.3870833333333	3.80901573756818	2020-08-30	"GOR1"	0.834444486490633	0.365436344200194
"28"	248	2020	0	21.0383333333333	3.136705105831	2020-09-04	"GOR1"	0.877325015422597	0.377758110579462
"29"	258	2020	0.2	23.56875	3.79518946338737	2020-09-14	"GOR1"	0.873008309389153	0.375026294549438
"30"	263	2020	0	21.3158333333333	2.44015828174024	2020-09-19	"GOR1"	0.852858717260773	0.373659439877517
"31"	273	2020	0.2	13.4908333333333	1.1964279581629	2020-09-29	"GOR1"	0.833447691293533	0.405069316166184
"32"	283	2020	0	14.2779166666667	2.39605722083571	2020-10-09	"GOR1"	0.819387994513838	0.352012781630521
"33"	308	2020	0	12.73	1.0192890734364	2020-11-03	"GOR1"	0.764900082990142	0.275599129019735
"34"	313	2020	0	12.6216666666667	1.56586439907947	2020-11-08	"GOR1"	0.788570448160757	0.273370210770336
"35"	323	2020	0	13.1084210526316	1.72158407592759	2020-11-18	"GOR1"	0.724728335621238	0.24388925083093
"36"	333	2020	4.2	10.6875833333333	1.05765423808889	2020-11-28	"GOR1"	0.636421875122177	0.202546805231867
"37"	348	2020	0	6.899	1.33089319106354	2020-12-13	"GOR1"	0.590973843136772	0.102927404872789
