"X","doy","Year","Prec_mm","T_Celsius","ET0_mm","DATE","site.x","meanNDVI","meanNDWI","season"
1,38,2017,0,6.24920833333333,1.30397205271266,"2017-02-07","GOR1",0.563755122293732,0.0181048991584623,"wet"
2,68,2017,0,9.84829166666667,2.34613204536381,"2017-03-09","GOR1",0.517970696057486,-0.0507935029672663,"wet"
3,88,2017,0,11.0975833333333,2.81631710167707,"2017-03-29","GOR1",0.542954170431538,-0.0202350396819009,"wet"
4,98,2017,0,11.8020416666667,2.57105554646314,"2017-04-08","GOR1",0.611891571614163,0.0353796441096289,"wet"
5,138,2017,0,17.2704166666667,2.61733290400173,"2017-05-18","GOR1",0.881529229944782,0.392913926103186,"wet"
6,178,2017,0,24.1808333333333,3.25290730251389,"2017-06-27","GOR1",0.839060480975144,0.397421363907003,"wet"
7,188,2017,0,24.6591666666667,3.40841893238118,"2017-07-07","GOR1",0.870152110648163,0.398641368429922,"wet"
8,193,2017,0,26.5620833333333,4.95238469207539,"2017-07-12","GOR1",0.869205522832033,0.383491069444786,"wet"
9,198,2017,0,20.2954166666667,4.02359298591418,"2017-07-17","GOR1",0.861375950293935,0.393747118234238,"wet"
10,203,2017,0,26.9008333333333,5.02487431959884,"2017-07-22","GOR1",0.804170720149875,0.362326086468475,"wet"
11,218,2017,0,29.1775,5.3240997228024,"2017-08-06","GOR1",0.854305528287336,0.369043691233543,"wet"
12,223,2017,0,23.1395833333333,3.42308639221215,"2017-08-11","GOR1",0.848952124607278,0.363664928880641,"wet"
13,228,2017,0,24.8416666666667,4.85092704248766,"2017-08-16","GOR1",0.85140362298473,0.367187028024284,"wet"
14,233,2017,0,22.0616666666667,3.76697420126462,"2017-08-21","GOR1",0.814399939871131,0.351686608890362,"wet"
15,243,2017,0,23.115,3.9099416894434,"2017-08-31","GOR1",0.802272151707822,0.330131261139811,"wet"
16,258,2017,0,18.3475,2.19564971517837,"2017-09-15","GOR1",0.852410041579176,0.353750280877482,"wet"
17,278,2017,0,17.4704166666667,1.97507656603447,"2017-10-05","GOR1",0.833383182155824,0.345528269709827,"wet"
18,288,2017,0,16.84375,2.39855188034772,"2017-10-15","GOR1",0.860644390812047,0.349438896440929,"wet"
