""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	3	2019	0	2.66879166666667	2.01839875692868	2019-01-03	"MFC2"	0.666867601094413	0.18388429645924
"2"	38	2019	0	10.0748333333333	1.80700883867796	2019-02-07	"MFC2"	0.602469117954765	0.133953907634919
"3"	48	2019	0	9.12533333333333	1.79630226130417	2019-02-17	"MFC2"	0.605626198407585	0.1397225886414
"4"	58	2019	0	10.8658333333333	3.13492541582547	2019-02-27	"MFC2"	0.598725750473656	0.133247487159458
"5"	68	2019	0	12.3329166666667	1.74343374954202	2019-03-09	"MFC2"	0.597107241117778	0.153802016672074
"6"	83	2019	0	15.15625	2.52316797806216	2019-03-24	"MFC2"	0.645072556281793	0.194919808597817
"7"	88	2019	0	11.1272916666667	2.91181089849932	2019-03-29	"MFC2"	0.651333935706947	0.229063335675605
"8"	108	2019	0	14.8729166666667	2.72945962328997	2019-04-18	"MFC2"	0.7171309052359	0.293064855517349
"9"	158	2019	0	26.0166666666667	2.42840672486528	2019-06-07	"MFC2"	0.714034776128661	0.313983186676974
"10"	163	2019	0	28.325	2.50341851831141	2019-06-12	"MFC2"	0.652669896518022	0.259916669145847
"11"	178	2019	0	28.5741666666667	3.43444074454752	2019-06-27	"MFC2"	0.532101583932936	0.115861435996971
"12"	183	2019	0	26.33125	2.39967115552419	2019-07-02	"MFC2"	0.503585330178965	0.101230873261015
"13"	188	2019	0	25.7466666666667	2.35993645449053	2019-07-07	"MFC2"	0.490151131899598	0.113247911894885
"14"	203	2019	0	26.0995833333333	2.3899734700152	2019-07-22	"MFC2"	0.48991044164373	0.0801895774262687
"15"	208	2019	0	25.8291666666667	2.23234532787595	2019-07-27	"MFC2"	0.486016059369613	0.0948147690750457
"21"	258	2019	0	23.5395833333333	2.87703408713718	2019-09-15	"MFC2"	0.572548489785867	0.105049549402949
"22"	263	2019	0	20.5	2.78075902018093	2019-09-20	"MFC2"	0.582016491790549	0.109476259765043
"23"	273	2019	0	16.345625	1.48473661191714	2019-09-30	"MFC2"	0.625866023358854	0.130256163713939
"24"	283	2019	0	18.468125	1.56331749785486	2019-10-10	"MFC2"	0.643591381509079	0.160129592110061
"25"	288	2019	0	19.6041666666667	1.4981220503256	2019-10-15	"MFC2"	0.625713527828665	0.174310150918447
"26"	293	2019	0	19.11875	1.63930179071272	2019-10-20	"MFC2"	0.658132679918166	0.170916131544139
"27"	338	2019	0	11.75125	1.48554618588143	2019-12-04	"MFC2"	0.690320162292548	0.21396317481927
"28"	348	2019	0.1	9.47554166666666	1.72768472457369	2019-12-14	"MFC2"	0.705823063114425	0.224525655212052
"29"	358	2019	0	10.5691666666667	1.8582313758417	2019-12-24	"MFC2"	0.705526228767125	0.225684359468494
