""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	3	2020	0	9.58425	1.55696631808431	2020-01-03	"MFC2"	0.674728245460658	0.194947863803445
"2"	8	2020	0	8.913125	2.41034801195633	2020-01-08	"MFC2"	0.661439557065751	0.160962530733245
"3"	13	2020	0	9.70216666666667	1.19012920585388	2020-01-13	"MFC2"	0.626596267121851	0.173242493542887
"4"	23	2020	0.1	8.48129166666667	0.878913207970281	2020-01-23	"MFC2"	0.61675096300835	0.195767222621707
"5"	38	2020	0	7.44633333333333	1.94678491291974	2020-02-07	"MFC2"	0.629647262576033	0.13778507169855
"6"	48	2020	0	9.76029166666667	1.31197203841486	2020-02-17	"MFC2"	0.636450422807066	0.163981432826514
"7"	53	2020	0	10.196375	2.6856685307023	2020-02-22	"MFC2"	0.632140687097526	0.168751951354977
"8"	58	2020	6.428	7.66054166666667	1.94220209140301	2020-02-27	"MFC2"	0.653689721124898	0.193970677576241
"9"	73	2020	0	10.8285416666667	1.3339435598643	2020-03-13	"MFC2"	0.622745890187063	0.205694300244119
"10"	83	2020	0.6	7.41570833333333	2.43768253215302	2020-03-23	"MFC2"	0.541557591788428	0.274513985064344
"11"	88	2020	6.041	8.709625	0.526035656118726	2020-03-28	"MFC2"	0.610774411102416	0.314115866351957
"12"	93	2020	0	7.63304166666667	1.95404437554612	2020-04-02	"MFC2"	0.663312408181817	0.227160193871841
"13"	98	2020	0	14.5279166666667	2.83381119790354	2020-04-07	"MFC2"	0.643280631603913	0.21095691011887
"14"	103	2020	0.2	11.9948333333333	1.51399048884719	2020-04-12	"MFC2"	0.652844022436162	0.242452607079729
"15"	108	2020	0	13.7829166666667	2.00228262240609	2020-04-17	"MFC2"	0.651888037154199	0.241504238784958
"16"	118	2020	0	14.93125	1.82517849662157	2020-04-27	"MFC2"	0.703266597008231	0.287581992040464
"17"	128	2020	0	16.43375	3.45756892308696	2020-05-07	"MFC2"	0.727902109287273	0.316127282965663
"18"	143	2020	0	18.82375	3.36893571591844	2020-05-22	"MFC2"	0.698603307100693	0.283252407383862
"19"	148	2020	0	16.86625	3.55106451123667	2020-05-27	"MFC2"	0.620107616667682	0.238599957060716
"20"	153	2020	1.787	14.5458333333333	1.71396126618771	2020-06-01	"MFC2"	0.612522531336626	0.275154643430436
"21"	178	2020	0	24.59625	2.40306623223407	2020-06-26	"MFC2"	0.581086775650001	0.143270754220206
"22"	183	2020	0	25.0575	2.43929576106059	2020-07-01	"MFC2"	0.549918650883065	0.130854120461865
"23"	198	2020	0	22.3504166666667	2.58732759547796	2020-07-16	"MFC2"	0.50684327563609	0.0983154902653335
"24"	208	2020	0	24.5145833333333	2.83726480902355	2020-07-26	"MFC2"	0.486029071033221	0.0887064864000422
"25"	213	2020	0	26.615	2.37696706917109	2020-07-31	"MFC2"	0.460832862512013	0.0907361354746153
"26"	223	2020	0	27.4833333333333	2.99145396849617	2020-08-10	"MFC2"	0.459263771504756	0.05748945116032
"27"	243	2020	0	29.1716666666667	2.8931328058234	2020-08-30	"MFC2"	0.41958911800094	0.0448992078710962
"28"	248	2020	0	24.0829166666667	2.97582871725231	2020-09-04	"MFC2"	0.420283513430403	0.0251433718927692
"29"	253	2020	0	26.825	2.66434040369714	2020-09-09	"MFC2"	0.411044801264581	0.0450731577533992
"30"	258	2020	0	26.8154166666667	3.37831841098371	2020-09-14	"MFC2"	0.426314418920393	0.0120993397373755
"31"	263	2020	0	23.69	2.12388125799146	2020-09-19	"MFC2"	0.427268329091404	0.0222877568929548
"32"	278	2020	0	18.63125	1.78886638909641	2020-10-04	"MFC2"	0.528697440698217	0.0506725840599334
"33"	283	2020	0	16.5841666666667	1.99855304687097	2020-10-09	"MFC2"	0.535647546278696	0.0962012288079925
"34"	293	2020	0	13.235	1.17896628637032	2020-10-19	"MFC2"	0.596445645503771	0.152841973810949
"35"	308	2020	0	14.0629166666667	0.948707464143163	2020-11-03	"MFC2"	0.62410819339085	0.162151734637831
"36"	313	2020	0	14.04625	1.39992276955237	2020-11-08	"MFC2"	0.647936222062824	0.184769680328735
"37"	323	2020	0	15.77875	2.19273598138821	2020-11-18	"MFC2"	0.660694858179959	0.198275855347821
"38"	328	2020	0	13.5845833333333	0.926475787587622	2020-11-23	"MFC2"	0.64608410016572	0.202786605701972
"39"	348	2020	0	9.41083333333333	1.12574286695355	2020-12-13	"MFC2"	0.682687346267349	0.30998231461354
